date,stage_rel_m,storage_true_m3,area_m2,level_sim_m,level_obs_m,vol_p_minus_e_m3d,vol_qin_m3d,vol_qout_m3d,vol_gw_m3d,dS_m3d,qin_scaled_m3s,level_obs_m_asl,level_sim_m_asl
2010-02-18,-0.6724667983020143,2707877983892.148,57884490000.0,11.039637743031026,11.21,-187772043.88789257,109431472.79255228,74153836.8,4821428.571428572,-157315836.46676886,1266.5679721360218,1134.06,1133.889637743031
2010-02-19,-0.6793712586230144,2707445501887.696,57884490000.0,11.032733282710026,11.21,-367728931.9637551,14637776.883113395,74569420.8,4821428.571428572,-432482004.4520703,169.41871392492357,1134.06,1133.88273328271
2010-02-20,-0.6488464546400963,2709357516411.3926,57884490000.0,11.063258086692944,11.22,1013373550.39636,978709889.8718992,75247488.0,4821428.571428572,1912014523.6968307,11327.660762406242,1134.07,1133.9132580866928
2010-02-21,-0.6468779735066635,2709480818252.0483,57884490000.0,11.065226567826377,11.23,-9737861.445108041,209897130.67224866,72036000.0,4821428.571428572,123301840.65571204,2429.3649383362113,1134.08,1133.9152265678263
2010-02-22,-0.6185720519667381,2711253846282.671,57884490000.0,11.093532489366302,11.22,968047848.3694706,881941463.6244619,72139852.8,4821428.571428572,1773028030.622504,10207.655828986828,1134.07,1133.9435324893661
2010-02-23,-0.6220390728300245,2711036678819.5063,57884490000.0,11.090065468503017,11.21,-180615936.6832857,39803572.49023603,71533670.4,4821428.571428572,-217167463.16447824,460.6894964147688,1134.06,1133.940065468503
2010-02-24,-0.6060678319891184,2712037086372.209,57884490000.0,11.106036709343922,11.24,485901658.5471496,589831364.3270323,70504041.6,4821428.571428572,1000407552.7027534,6826.751901933245,1134.09,1133.9560367093438
2010-02-25,-0.5990743303524757,2712475145751.9927,57884490000.0,11.113030210980565,11.23,166917988.89311376,347771587.4619011,71808768.0,4821428.571428572,438059379.7835863,4025.134114142374,1134.08,1133.9630302109804
2010-02-26,-0.5890728172721764,2713101621135.067,57884490000.0,11.123031724060864,11.25,365940917.0558442,337404940.98975575,72049046.39999999,4821428.571428572,626475383.0741714,3905.1497799740246,1134.1,1133.9730317240608
2010-02-27,-0.5909262636803779,2712985524846.5093,57884490000.0,11.121178277652662,11.26,-120925716.74817076,81462735.16182075,71811878.39999999,4821428.571428572,-116096288.55777857,942.855731039592,1134.11,1133.9711782776526
2010-02-28,-0.590778019678794,2712994810563.274,57884490000.0,11.121326521654247,11.27,-34292088.92180097,118445442.25784248,70046208.0,4821428.571428572,9285716.76461294,1370.8963224287324,1134.12,1133.9713265216542
2010-03-01,-0.5678243476645105,2714432584063.4097,57884490000.0,11.14428019366853,11.29,840935951.6337936,669141926.4114287,67949539.2,4354838.70967742,1437773500.1355448,7744.698222354499,1134.1399999999999,1133.9942801936684
2010-03-02,-0.5724235938604529,2714144496201.171,57884490000.0,11.139680947472588,11.31,-251398764.6116606,37327555.48250333,69661814.39999999,4354838.70967742,-288087862.2388347,432.03189215860334,1134.1599999999999,1133.9896809474726
